id,name,category,city,address,rating,reviews_count,site,phone
c_001107,ООО «Стимул Сервис»,Рекламное агентство,Санкт-Петербург,"ул. Молодёжная, д. 9, офис 398",4.1,270,https://stimul-service-952.ru,+7 (499) 887-95-93
c_001190,ООО «Дельта Трейд»,Стоматология,Москва,"ул. Советская, д. 60, офис 192",,1,https://delta-trade-606.com,+7 (843) 117-29-25
c_001085,«Заря Трейд»,Строительная компания,Тула,"ул. Парковая, д. 36",4.4,289,,+7 (343) 312-59-18
c_001039,ИП Виноградов Б. П.,Оптовая торговля,Москва,"ул. Победы, д. 92",4.4,16,https://ip-931.ru,
c_000851,«Сфера Сервис»,Бухгалтерские услуги,Казань,"ул. Ленина, д. 99",3.7,21,https://sfera-service-586.ru,+7 (961) 953-35-81
c_001024,ООО «Кристалл Трейд»,IT-интегратор,Пермь,"ул. Победы, д. 111, офис 209",4.4,34,https://kristall-trade-940.ru,+7 (499) 511-67-67
c_001098,«Аверс Медиа»,Салон красоты,Тюмень,"ул. Гагарина, д. 63",,5,https://avers-media-476.ru,+7 (863) 203-27-68
c_001132,ООО «Синтез Про»,Логистика,Омск,"ул. Парковая, д. 113",4.7,122,https://,
c_001023,ООО «Восток Строй»,Автосервис,Челябинск,"ул. Ленина, д. 35",4.7,69,,
c_001159,«Полёт Трейд»,Бухгалтерские услуги,Самара,"ул. Победы, д. 113",4.6,438,http://polet-trade-307.ru,+7 (812) 374-73-45
c_001102,ООО «Ритм»,Автосервис,Воронеж,"ул. Северная, д. 81",4.2,2,,+7 (495) 696-77-81
c_001033,«Стимул Лаб»,Салон красоты,Екатеринбург,"ул. Пушкина, д. 18, офис 230",4.5,89,,
c_001058,ИП Соколов А. В.,Юридические услуги,Самара,"ул. Садовая, д. 25, офис 361",4.0,37,,+7 (343) 888-52-68
c_001054,ИП Богданов Д. С.,Клининг,Краснодар,"ул. Кирова, д. 26, офис 387",4.4,80,,+7 (925) 706-60-19
c_001113,ООО «Синтез Строй»,Бухгалтерские услуги,Казань,"ул. Садовая, д. 111, офис 316",4.5,149,,+7 (383) 653-33-83
c_001003,ООО «Заря Медиа»,Кофейня,Санкт-Петербург,"ул. Парковая, д. 61",3.6,221,https://zarya-media-677.ru,+7 (383) 785-18-88
c_001154,ИП Тарасов Д. Д.,Пекарня,Екатеринбург,"ул. Победы, д. 14",4.5,72,http://ip-855.com,+7 (863) 648-88-80
c_001162,ИП Орлов В. Д.,Бухгалтерские услуги,Казань,"ул. Гагарина, д. 65",4.7,40,,+7 (495) 422-16-59
c_001116,ИП Богданов Б. П.,Юридические услуги,Москва,"ул. Мира, д. 26",4.6,-10,,+7 (343) 304-23-63
c_001073,ООО «Аверс Медиа»,Рекламное агентство,Новосибирск,"ул. Центральная, д. 29, офис 386",3.9,13,https://avers-media-208.ru,+7 (843) 985-30-82
c_001068,ООО «Ритм Плюс»,Ветеринарная клиника,Челябинск,"ул. Пушкина, д. 86, офис 82",,0,https://ritm-plus-797.ru,+7 (961) 237-47-26
c_001053,ИП Лебедев Б. П.,Салон красоты,Новосибирск,"ул. Молодёжная, д. 104",3.9,18,,+7 (925) 220-31-65
c_001179,ИП Павлов А. А.,Стоматология,Москва,"ул. Центральная, д. 62",4.9,157,https://ip-205.ru,+7 (831) 904-35-13
c_001130,ООО «Каскад Тех»,Ресторан,Челябинск,"ул. Набережная, д. 105, офис 142",3.5,6,,+7 (499) 779-57-76
c_001031,ИП Козлов А. С.,Ресторан,Уфа,"ул. Центральная, д. 49, офис 271",4.3,156,http://ip-177.ru,+7 (925) 951-75-71
c_001131,ООО «Заря Про»,Юридические услуги,Казань,"ул. Гагарина, д. 12",4.4,59,,+7 (961) 325-56-62
c_001168,ИП Павлов Б. А.,Охранное предприятие,Уфа,"ул. Заводская, д. 93, офис 90",4.3,29,,+7 (925) 767-86-50
c_001176,«Кварц Групп»,Стоматология,Москва,"ул. Советская, д. 18",4.4,389,,
c_001051,ООО «Ритм Строй»,Строительная компания,Новосибирск,"ул. Советская, д. 94",4.8,115,https://ritm-stroy-660.ru,+7 (343) 537-40-46
c_001123,ООО «Кварц Групп»,Образовательный центр,Воронеж,"ул. Мира, д. 11, офис 318",4.5,9,https://kvarts-group-977.ru,+7 (499) 931-22-89
c_000098,«Норд Сервис»,Ветеринарная клиника,Омск,"ул. Центральная, д. 97",4.7,7,https://nord-service-773.ru,+7 (343) 769-82-68
c_001143,АО «Стимул Трейд»,Риэлторское агентство,Новосибирск,"ул. Победы, д. 86, офис 57",4.4,4,https://stimul-trade-379.ru,+7 (843) 865-87-41
c_900009,АО Сокол,Образовательный центр,Пермь,"ул. Советская, д. 81",4.3,3,,+7 (831) 339-68-14
c_001169,ООО «Маяк Трейд»,Рекламное агентство,Ростов-на-Дону,"ул. Мира, д. 105, офис 346",4.6,47,,+7 (961) 343-11-52
c_001038,ООО «Дельта Групп»,Медицинский центр,Тюмень,"ул. Парковая, д. 33",4.6,62,https://delta-group-720.ru,+7 (831) 260-21-11
c_001077,ИП Козлов Д. Д.,Бухгалтерские услуги,Новосибирск,"ул. Кирова, д. 24",4.7,151,https://ip-267.ru,+7 (343) 848-99-53
c_001043,ООО «Ритм Групп»,Рекламное агентство,Челябинск,"ул. Молодёжная, д. 95",4.9,118,https://ritm-group-192.ru,+7 (863) 518-68-50
c_001161,«Кварц Трейд»,Бухгалтерские услуги,Москва,"ул. Школьная, д. 12",4.5,59,https://kvarts-trade-706.ru,+7 (343) 749-67-22
c_001180,«Кристалл Тех»,Ветеринарная клиника,Санкт-Петербург,"ул. Ленина, д. 106",,1,https://kristall-tech-7.ru,+7 (343) 138-73-48
c_001012,ИП Орлов В. С.,Оптовая торговля,Санкт-Петербург,"ул. Пушкина, д. 62, офис 226",3.7,73,https://ip-674.ru,+7 (343) 471-10-38
c_001071,ООО «Стимул Групп»,Строительная компания,Москва,"ул. Центральная, д. 37",4.5,18,,+7 (916) 214-51-25
c_001167,«Триумф Тех»,Охранное предприятие,Екатеринбург,"ул. Школьная, д. 80",4.5,88,https://triumf-tech-321.ru,+7 (495) 316-62-51
c_001095,ИП Виноградов С. П.,Медицинский центр,Уфа,"ул. Молодёжная, д. 7",4.3,144,http://ip-151.ru,+7 (495) 285-96-55
c_001045,ООО «Ритм Медиа»,Строительная компания,Пермь,"ул. Советская, д. 49",,5,,+7 (343) 771-40-26
c_001097,ООО «Темп Групп»,Юридические услуги,Волгоград,"ул. Победы, д. 71",4.8,50,https://temp-group-954.com,+7 (863) 729-93-74
c_001171,АО «Стимул Плюс»,Логистика,Омск,"ул. Центральная, д. 111, офис 359",4.6,217,http://stimul-plus-380.ru,+7 (812) 610-61-60
c_001042,ООО «Полёт Сервис»,Производство мебели,Сочи,"ул. Ленина, д. 113",3.7,66,,+7 (499) 135-53-28
c_001106,«Кварц Плюс»,Бухгалтерские услуги,Краснодар,"ул. Трудовая, д. 1",4.2,13,https://kvarts-plus-290.ru,+7 (903) 686-32-73
c_001135,ООО «Дельта Про»,Фитнес-клуб,Москва,"ул. Строителей, д. 54",4.3,19,https://shared-site.ru,+7 (831) 353-84-93
c_001110,АО «Монолит Групп»,Ветеринарная клиника,Уфа,"ул. Строителей, д. 18",4.8,35,http://monolit-group-475.ru,+7 (499) 953-83-62
c_000769,ИП Иванов Б. П.,Медицинский центр,Челябинск,"ул. Ленина, д. 108",4.3,68,https://ip-25.ru,+7 (495) 428-23-74
c_001076,ООО «Монолит Трейд»,Логистика,Москва,"ул. Молодёжная, д. 2",4.6,149,,+7 (383) 871-65-91
c_001137,ООО «Синтез Тех»,Стоматология,Тюмень,"ул. Парковая, д. 12, офис 356",4.0,76,https://sintez-tech-576.ru,+7 (383) 632-12-27
c_001122,ООО «Восток Лаб»,Медицинский центр,Сочи,"ул. Южная, д. 29",-3,39,https://vostok-lab-998.net,
c_001178,«Дельта Про»,Образовательный центр,Санкт-Петербург,"ул. Южная, д. 116",4.6,36,https://delta-pro-878.com,+7 (925) 386-13-82
c_001079,ООО «Опора Сервис»,Ресторан,Омск,"ул. Мира, д. 54",4.3,45.5,https://opora-service-1.ru,+7 (916) 798-65-29
c_001109,«Каскад Строй»,Ресторан,Санкт-Петербург,"ул. Садовая, д. 94",3.7,48,http://kaskad-stroy-2.ru,+7 (812) 996-94-47
c_001090,ИП Козлов Б. В.,Строительная компания,Москва,"ул. Набережная, д. 21, офис 343",3.5,43,https://ip-670.ru,+7 (916) 579-84-12
c_001136,ООО «Маяк Групп»,Рекламное агентство,Новосибирск,"ул. Северная, д. 87",4.1,33,https://mayak-group-459.ru,+7 (843) 284-84-59
c_001103,ИП Соколов С. Д.,Рекламное агентство,Москва,"ул. Советская, д. 5",4.4,123,https://ip-659.ru,+7 (499) 691-99-92
c_001118,ООО «Опора Тех»,Пекарня,Новосибирск,"ул. Набережная, д. 37, офис 330",,0,,+7 (903) 941-86-87
c_001148,ИП Богданов Б. В.,IT-интегратор,Санкт-Петербург,"ул. Победы, д. 61",4.7,52,http://ip-242.ru,+7 (961) 324-46-38
c_001032,«Заря Тех»,Оптовая торговля,Ярославль,"ул. Молодёжная, д. 13",,4,http://zarya-tech-283.ru,
c_001129,ИП Орлов С. П.,Рекламное агентство,Ростов-на-Дону,"ул. Молодёжная, д. 14",4.6,23,https://ip-920.net,+7 (903) 407-12-97
c_001163,ООО «Монолит Плюс»,Автосервис,Воронеж,"ул. Северная, д. 8, офис 331",3.7,94,https://monolit-plus-603.ru,+7 (916) 409-37-37
c_001041,ИП Лебедев Б. Д.,Кофейня,Новосибирск,"ул. Южная, д. 79",4.4,42,http://ip-347.ru,+7 (812) 470-75-19
c_000425,АО «Сокол Трейд»,Оптовая торговля,Москва,"ул. Заводская, д. 58",3.6,36,,+7 (903) 725-92-99
c_001145,"ООО ""Ромашка""",Стоматология,Новосибирск,"ул. Школьная, д. 9",4.5,25,,+7 (843) 309-62-11
c_001142,ООО «Вертикаль Групп»,Ресторан,Краснодар,"ул. Парковая, д. 61, офис 295",4.9,121,https://vertikal-group-955.ru,+7 (925) 926-78-71
c_001100,«Маяк Тех»,Логистика,Краснодар,"ул. Мира, д. 109",3.5,30,,+7 (812) 109-24-81
c_001008,РћРћРћ В«Р—Р°СЂСЏ РўРµС…В»,Салон красоты,РњРѕСЃРєРІР°,"ул. Трудовая, д. 107",3.8,291,https://zarya-tech-687.ru,+7 (925) 401-78-83
c_001104,ООО «Каскад Лаб»,Бухгалтерские услуги,Санкт-Петербург,"ул. Парковая, д. 44",,4,https://kaskad-lab-981.ru,+7 (831) 551-52-71
c_900010,Модуль Строй,IT-интегратор,Ростов-на-Дону,"ул. Набережная, д. 36",4.3,5,https://modul-stroy-410.ru,+7 (843) 170-40-54
c_001112,ООО «Дельта Плюс»,Кофейня,Нижний Новгород,"ул. Мира, д. 102",,2,,+7 (961) 506-13-42
c_001050,ООО «Кварц Тех»,IT-интегратор,Москва,"ул. Садовая, д. 60, офис 376",4.5,44,,+7 (499) 926-94-52
c_001127,«Стимул Медиа»,Автосервис,Ростов-на-Дону,"ул. Парковая, д. 57",4.7,193,,+7 (843) 918-89-68
c_001126,АО «Опора Лаб»,IT-интегратор,Ростов-на-Дону,"ул. Гагарина, д. 47",3.5,169,https://opora-lab-165.ru,+7 (831) 240-66-30
c_001138,АО «Восток Про»,Производство мебели,Москва,"ул. Кирова, д. 33",3.5,7,https://vostok-pro-728.ru,+7 (863) 422-83-29
c_001105,ООО «Стимул Про»,IT-интегратор,Москва,"ул. Садовая, д. 66",4.8,98,,+7 (812) 717-26-13
c_001158,ООО «Дельта Сервис»,Юридические услуги,Тюмень,"ул. Центральная, д. 36, офис 25",,2,https://delta-service-287.com,
c_001188,ООО «Аверс Тех»,IT-интегратор,Воронеж,"ул. Центральная, д. 88",4.5,104,https://avers-tech-786.ru,
c_001060,«Темп Про»,Строительная компания,Нижний Новгород,"ул. Трудовая, д. 75, офис 215",3.8,112,https://temp-pro-712.ru,+7 (831) 668-50-36
c_001139,«Платформа»,Фитнес-клуб,Уфа,"ул. Южная, д. 58",3.5,119,https://platforma-431.ru,+7 (343) 815-82-95
c_900011,АО Сокол Лаб,Фитнес-клуб,Воронеж,"ул. Северная, д. 30",4.5,91,https://sokol-lab-783.ru,+7 (961) 362-22-37
c_001108,ИП Соколов В. С.,Охранное предприятие,Moscow,"ул. Парковая, д. 1",4.5,16,,+7 (863) 788-42-73
c_001152,ООО «Вертикаль Трейд»,IT-интегратор,Москва,"ул. Гагарина, д. 104, офис 72",3.9,82,https://vertikal-trade-241.ru,+7 (863) 662-75-46
c_001125,ООО «Ритм Тех»,Пекарня,Нижний Новгород,"ул. Набережная, д. 1, офис 279",4.6,179,https://ritm-tech-872.com,+7 (812) 826-77-27
c_001064,АО «Ритм»,Логистика,Воронеж,"ул. Советская, д. 74",4.5,21,нет сайта,+7 (831) 942-85-75
c_001088,ООО «Вертикаль Тех»,IT-интегратор,Краснодар,"ул. Трудовая, д. 26",4.7,48,https://shared-site.ru,+7 (863) 474-40-24
c_001028,ООО «Платформа Плюс»,Логистика,Калуга,"ул. Молодёжная, д. 106, офис 106",4.3,50,http://platforma-plus-929.ru,+7 (903) 365-29-17
c_001117,ООО «Вертикаль Медиа»,Риэлторское агентство,Волгоград,"ул. Пушкина, д. 15, офис 103",4.4,185,https://vertikal-media-569.ru,+7 (843) 323-60-54
c_001149,«Триумф Сервис»,Кофейня,Челябинск,"ул. Южная, д. 90, офис 48",3.7,28,,+7 (383) 153-49-77
c_001013,ИП Соколов А. Д.,Строительная компания,Москва,"ул. Садовая, д. 29, офис 185",4.9,20,https://ip-55.ru,+7 (343) 102-91-74
c_001094,ООО «Темп Сервис»,Строительная компания,Санкт-Петербург,"ул. Центральная, д. 1",,0,,+7 (925) 210-87-53
c_001016,ООО «Триумф Групп»,IT-интегратор,Уфа,"ул. Ленина, д. 101, офис 229",4.6,14,https://triumf-group-627.ru,+7 (903) 832-57-90
c_001066,ООО «Кварц Строй»,Автосервис,Волгоград,"ул. Мира, д. 117",4.3,3,https://kvarts-stroy-168.ru,+7 (343) 443-56-63
c_900007,Прайм Плюс,Строительная компания,Пермь,"ул. Пушкина, д. 86",4.4,9,,+7 (831) 650-34-70
c_001101,АО «Стимул Сервис»,IT-интегратор,Тюмень,"ул. Заводская, д. 25, офис 231",4.3,136,https://stimul-service-248.ru,+7 (343) 784-86-80
c_001020,ООО «Синтез Сервис»,Образовательный центр,Москва,"ул. Строителей, д. 94",4.5,68,htp://sintez-service-453.ru,+7 (843) 297-58-59
c_001189,ООО «Вертикаль Сервис»,Строительная компания,Санкт-Петербург,"ул. Кирова, д. 33, офис 233",,0,https://vertikal-service-494.ru,+7 (499) 800-97-22
c_001183,ООО «Кристалл»,Оптовая торговля,Ростов-на-Дону,"ул. Центральная, д. 84, офис 62",4.6,152,,+7 (812) 290-66-96
c_001164,ООО «Синтез Групп»,Рекламное агентство,Челябинск,"ул. Садовая, д. 22, офис 56",4.4,12,https://sintez-group-614.ru,+7 (961) 456-41-17
c_001141,АО «Триумф Трейд»,Логистика,Самара,"ул. Кирова, д. 4, офис 140",4.7,132,https://triumf-trade-710.com,+7 (961) 713-84-57
c_001084,«Восток Групп»,Бухгалтерские услуги,Нижний Новгород,"ул. Трудовая, д. 10",4.6,91,https://vostok-group-861.ru,+7 (383) 674-25-21
c_001022,«Монолит Групп»,Образовательный центр,Москва,"ул. Парковая, д. 64",3.9,137,,+7 (495) 878-12-62
c_001184,ООО «Стимул Строй»,Оптовая торговля,Москва ,"ул. Ленина, д. 74",4.4,100,http://stimul-stroy-264.ru,+7 (831) 543-46-39
c_001021,ООО «Кристалл Плюс»,Ветеринарная клиника,Москва,"ул. Садовая, д. 42",4.5,91,http://kristall-plus-780.ru,+7 (831) 812-45-41
c_001157,ООО «Аверс»,Логистика,Тула,"ул. Советская, д. 29, офис 58",,1,,+7 (343) 406-23-10
c_001082,ООО «Аверс Сервис»,Рекламное агентство,Ярославль,"ул. Северная, д. 120",,3,http://avers-service-603.ru,+7 (383) 751-30-53
c_001018,ООО «Темп Тех»,Логистика,Краснодар,"ул. Мира, д. 24, офис 343",4.5,0,https://temp-tech-681.ru,+7 (831) 639-15-24
c_001155,ООО «Стимул Трейд»,Риэлторское агентство,Москва,"ул. Заводская, д. 51",4.4,147,https://stimul-trade-232.ru,+7 (903) 445-39-46
c_001030,ООО «Полёт Плюс»,Типография,Екатеринбург,"ул. Победы, д. 27",3.8,26,,+7 (903) 122-26-96
c_001128,РћРћРћ В«РўРµРјРї РњРµРґРёР°В»,Юридические услуги,РЎР°РЅРєС‚-РџРµС‚РµСЂР±СѓСЂРі,"ул. Набережная, д. 57",4.2,101,,
c_001034,ООО «Восток Про»,Производство мебели,Уфа,"ул. Школьная, д. 40, офис 121",4.1,5,http://vostok-pro-72.ru,+7 (916) 940-45-89
c_001153,ООО «Опора Про»,Салон красоты,Екатеринбург,"ул. Строителей, д. 30, офис 54",4.4,95,https://opora-pro-550.ru,+7 (343) 484-21-28
c_001025,ООО «Ритм Лаб»,IT-интегратор,Казань,"ул. Садовая, д. 27",3.6,0,http://ritm-lab-145.ru,+7 (916) 881-41-24
c_001059,ООО «Вертикаль Про»,Стоматология,Москва,"ул. Трудовая, д. 2",3.9,14,,
c_001006,ООО «Заря Плюс»,Ветеринарная клиника,Новосибирск,"ул. Ленина, д. 58",3.5,58,https://zarya-plus-875.ru,+7 (495) 516-68-48
c_001087,АО «Заря»,Риэлторское агентство,Екатеринбург,"ул. Парковая, д. 57, офис 191",4.3,21,,+7 (863) 289-17-78
c_001036,ООО «Аверс Лаб»,Оптовая торговля,Сочи,"ул. Трудовая, д. 27",,0,https://avers-lab-106.net,+7 (916) 564-46-28
c_001111,ИП Лебедев А. С.,Бухгалтерские услуги,Москва,"ул. Северная, д. 35, офис 217",3.8,163,,+7 (812) 394-25-66
c_001133,АО «Маяк Лаб»,IT-интегратор,Пермь,"ул. Победы, д. 80",4.1,29,,+7 (843) 174-61-33
c_001027,ООО «Каскад Про»,Стоматология,Тула,"ул. Парковая, д. 89",3.4,254,,+7 (863) 744-59-50
c_001047,«Маяк Сервис»,Кофейня,москва,"ул. Ленина, д. 70",4.0,24,https://mayak-service-636.com,+7 (499) 499-46-19
c_001074,«Кварц Медиа»,Клининг,Ростов-на-Дону,"ул. Южная, д. 90",4.7,152,https://kvarts-media-170.ru,+7 (961) 909-15-99
c_001044,«Стимул»,Производство мебели,Уфа,"ул. Кирова, д. 100",4.4,81,http://stimul-310.ru,+7 (812) 578-67-87
c_001144,ООО «Темп Трейд»,Медицинский центр,Санкт-Петербург,"ул. Пушкина, д. 33",4.6,154,https://temp-trade-224.ru,+7 (843) 783-53-89
c_001115,ИП Богданов Д. П.,Автосервис,Санкт-Петербург,"ул. Пушкина, д. 120, офис 162",3.7,82,https://ip-696.net,+7 (863) 650-16-42
c_001019,ООО «Полёт Строй»,Медицинский центр,Новосибирск,"ул. Южная, д. 86",,4,https://polet-stroy-83.ru,+7 (961) 826-42-79
c_001056,«Полёт Строй»,Логистика,Краснодар,"ул. Заводская, д. 39, офис 222",3.9,43,https://polet-stroy-77.ru,+7 (383) 861-26-24
c_001181,ИП Богданов А. А.,Пекарня,Краснодар,"ул. Победы, д. 116",4.7,42,https://ip-188.ru,+7 (343) 657-94-82
c_001150,ООО «Стимул Лаб»,Рекламное агентство,Екатеринбург,"ул. Победы, д. 8",,1,https://stimul-lab-597.com,+7 (843) 318-23-41
c_001099,«Полёт Тех»,IT-интегратор,Москва,"ул. Заводская, д. 72, офис 70",4.6,15,https://polet-tech-901.ru,+7 (383) 459-55-61
c_001052,ИП Лебедев Б. С.,Медицинский центр,Москва,"ул. Мира, д. 84, офис 67",3.3,60,,+7 (961) 402-46-61
c_900006,АО Орион Групп,Строительная компания,Москва,"ул. Центральная, д. 44",3.6,31,https://orion-group-588.ru,
c_001086,ООО «Ритм Трейд»,Медицинский центр,Уфа,"ул. Ленина, д. 31, офис 287",3.8,187,https://ritm-trade-741.ru,
c_001177,ООО «Опора Строй»,IT-интегратор,Москва,"ул. Гагарина, д. 119, офис 358",3.8,6,https://opora-stroy-999.ru,
c_001146,ООО «Синтез Лаб»,Автосервис,Санкт-Петербург,"ул. Центральная, д. 78",4.6,5,,+7 (961) 835-15-88
c_001120,ИП Лебедев Б. А.,Юридические услуги,Воронеж,"ул. Победы, д. 108",4.0,311,https://ip-445.ru,+7 (863) 147-66-18
c_001070,«Темп Плюс»,Образовательный центр,Казань,"ул. Молодёжная, д. 85",4.6,158,https://temp-plus-49.ru,+7 (343) 284-82-41
c_001174,ООО «Заря Групп»,Медицинский центр,Самара,"ул. Школьная, д. 63, офис 90",4.1,195,,
c_001067,ООО «Заря Лаб»,Логистика,Нижний Новгород,"ул. Пушкина, д. 98, офис 175",4.0,17,https://zarya-lab-895.ru,+7 (843) 666-23-53
c_001007,ИП Павлов В. Д.,Салон красоты,Краснодар,"ул. Советская, д. 78",4.4,52,http://ip-538.ru,+7 (903) 918-91-68
c_001011,ООО «Маяк»,Салон красоты,Казань,"ул. Садовая, д. 12",,3,https://mayak-217.ru,
c_001151,АО «Опора Про»,IT-интегратор,Краснодар,"ул. Кирова, д. 14",4.0,16,https://opora-pro-185.ru,+7 (343) 200-81-73
c_001040,«Монолит Сервис»,Оптовая торговля,Санкт-Петербург,"ул. Северная, д. 51",3.8,20,,+7 (863) 509-48-66
c_001001,«Аверс Лаб»,Рекламное агентство,Самара,"ул. Набережная, д. 9",4.4,105,https://avers-lab-484.ru,+7 (343) 622-87-11
